provider_id,country_code,endpoint_id,canonical_entity,canonical_field,source_field,source_path,source_unit,canonical_unit,conversion,required,nullable,quality_rule,timezone_rule,notes,adapter_status
pegelonline_de,de,de-rest-stations,stations,source_station_uuid,uuid,$[].uuid,,,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,stations,source_station_id,number,$[].number,,,identity,yes,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,stations,station_name_original,longname,$[].longname,,,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,stations,river_km,km,$[].km,km,km,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,stations,latitude,latitude,$[].latitude,degree,degree,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,stations,longitude,longitude,$[].longitude,degree,degree,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,stations,gauge_zero_value,gaugeZero.value,$[].timeseries[shortname=W].gaugeZero.value,m,m,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,stations,vertical_datum,gaugeZero.unit,$[].timeseries[shortname=W].gaugeZero.unit,,,map explicit unit/datum,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,observations,level_value,currentMeasurement.value,$[].timeseries[shortname=W].currentMeasurement.value,cm,cm,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,observations,measurement_datetime_local,currentMeasurement.timestamp,$[].timeseries[].currentMeasurement.timestamp,ISO8601,ISO8601,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
pegelonline_de,de,de-rest-stations,observations,source_quality_code,stateMnwMhw/stateNswHsw,$[].timeseries[].currentMeasurement,,,preserve both,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-list,stations,source_station_id,objectID,$.gaugeList[].objectID,,,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-list,stations,station_name_original,objectName,$.gaugeList[].objectName,,,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-list,stations,river_km,riverKm,$.gaugeList[].riverKm,km,km,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-list,stations,latitude,latitude,$.gaugeList[].latitude,degree,degree,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-list,stations,longitude,longitude,$.gaugeList[].longitude,degree,degree,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-list,stations,gauge_zero_value,zpg,$.gaugeList[].zpg,m,m,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-list,stations,vertical_datum,zpg definition,OpenAPI GaugeDataDto.zpg,,,constant Adriatic Sea,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-status,observations,level_value,currentLevel,gauge/status current level,cm,cm,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-status,observations,variation_24h_cm,difference,gauge/status difference,cm,cm,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-status,observations,measurement_datetime_local,measureDate,gauge/status measureDate,ISO8601,ISO8601,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-status,forecasts,forecast_value,value,gauge/status forecast[].value,cm,cm,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-status,forecasts,forecast_min_value,min,gauge/status forecast[].min,cm,cm,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
viadonau_at,at,at-gauge-status,forecasts,forecast_max_value,max,gauge/status forecast[].max,cm,cm,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
shmu_sk,sk,sk-water-levels,stations,source_station_id,option value,select station option@value,,,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
shmu_sk,sk,sk-water-levels,stations,station_name_original,option text,select station option text,,,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
shmu_sk,sk,sk-water-levels,observations,level_value,water level cell,HTML station table,cm,cm,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
shmu_sk,sk,sk-water-levels,observations,water_temperature_c,water temperature cell,HTML station table,degC,degC,identity,no,yes,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
shmu_sk,sk,sk-forecast,forecasts,forecast_value,forecast table value,hydro_vod_forecast HTML,cm,cm,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
hydroinfo_hu,hu,hu-danube-current,stations,source_station_id,station code,table tr/td[1],,,identity,yes,no,preserve source; null is not zero,preserve source/local and derive UTC only with documented zone,,candidate
